name,住所,lat,lon,種別,備考
武道館,熊谷市江波363,36.2096112,139.3889214,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
妻沼勤労福祉会館,熊谷市妻沼1706-1,36.2225873,139.3766551,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
老人憩の家 めぬま荘(秦公民館),熊谷市葛和田922-1,36.202013,139.418721,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
日向集会所,熊谷市日向481,36.1905143,139.4142387,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】○
上江袋集会所,熊谷市上江袋519-1,36.202051,139.354987,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
西野集会所,熊谷市西野240-1,36.2027866,139.3729288,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
善ヶ島集会所,熊谷市善ケ島195-5,36.2152664,139.3998392,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
（市外）太田市沢野行政センター,群馬県太田市高林西町882-5,36.259116,139.365857,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】×
（市外）太田市立南小学校,群馬県太田市高林東町1372,36.255754,139.376414,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
（市外）太田市立南中学校,群馬県太田市高林北町955-1,36.26205,139.363576,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】×
熊谷市社会福祉協議会　老人デイサ-ビスセンタ-,熊谷市弥藤吾1753,36.216168,139.371892,福祉避難所,
老人福祉センタ-　ひかわ荘,熊谷市弥藤吾1755,36.2163323,139.3723086,福祉避難所,
特別養護老人ホ-ム　愛心園,熊谷市上根268,36.213841,139.381591,福祉避難所,
ケアハウス　しあわせの里,熊谷市原井169,36.203253,139.351436,福祉避難所,
玉井公園,熊谷市玉井1973-314,36.17812,139.343611,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
外原公園,熊谷市拾六間774-2,36.171419,139.312166,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
寿公園,熊谷市拾六間788-29,36.170665,139.308166,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
籠原第1公園,熊谷市新堀1154-12,36.17417,139.315016,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
美土里町公園,熊谷市美土里町1-20,36.1697,139.313673,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
別府第1公園,熊谷市別府2-83,36.185784,139.332831,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
別府第2公園,熊谷市別府4-44,36.182735,139.339911,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
別府第3公園,熊谷市別府5-51,36.180231,139.335655,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
玉井稲荷木第1公園,熊谷市玉井南3-19,36.174145,139.345821,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
玉井稲荷木第2公園,熊谷市玉井南2-88,36.176345,139.346897,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
玉井在家第1公園,熊谷市玉井3-69,36.180113,139.340546,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
玉井在家第2公園,熊谷市玉井2-24,36.178647,139.337182,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
玉井在家第3公園,熊谷市玉井5-71,36.177553,139.339356,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
新堀第1公園,籠原中央第一土地区画整理事業地内,36.174846,139.333681,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
新堀第2公園,籠原中央第一土地区画整理事業地内,36.17595943,139.3325669,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
新堀第3公園,籠原中央第一土地区画整理事業地内,36.17804335,139.3338261,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
新堀第4公園,籠原中央第一土地区画整理事業地内,36.1771088,139.3310123,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
新堀第5公園,籠原中央第一土地区画整理事業地内,36.17890417,139.3321373,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
広瀬川原公園,熊谷市瀬南68,36.145467,139.355008,指定緊急避難場所(一時避難場所),【洪水時】×、【地震時】〇
籠原中央公園,籠原南2-102,36.168979,139.328016,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
籠原南第1公園,熊谷市籠原南1-303,36.172941,139.327541,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
籠原南第2公園,熊谷市籠原南1-56,36.171759,139.330814,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
籠原南第3公園,籠原南3-141,36.171257,139.325034,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
籠原南第4公園,籠原南3-76,36.169805,139.325788,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
マミ-マ-ト籠原店(駐車場),熊谷市新堀新田523,36.172753,139.3222,指定緊急避難場所(一時避難場所),【洪水時】〇、【地震時】〇
別府沼公園,熊谷市西別府1456,36.194913,139.335375,指定緊急避難場所(広域避難場所),【洪水時】×、【地震時】〇
熊谷さくら運動公園,熊谷市小島157-1,36.154673,139.34571,指定緊急避難場所(広域避難場所),【洪水時】〇、【地震時】〇
大麻生小学校,熊谷市大麻生51,36.1494278,139.3395361,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
玉井小学校,熊谷市高柳116-1,36.17294,139.345008,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
別府小学校,熊谷市西別府29-1,36.1935454,139.3414399,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
三尻小学校,熊谷市三ヶ尻2862-1,36.1588236,139.3195618,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
籠原小学校,熊谷市新堀1143,36.1737163,139.3180364,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
新堀小学校,熊谷市新堀182,36.1728669,139.3382935,指定避難所兼指定緊急避難場所(第一避難所),【洪水時】〇、【地震時】〇
玉井中学校,熊谷市久保島888,36.168276,139.3453626,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
大麻生中学校,熊谷市大麻生35-1,36.1509859,139.3406998,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
別府中学校,熊谷市西別府1817,36.1875737,139.3348793,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
三尻中学校,熊谷市三ヶ尻2743,36.1620233,139.321792,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
熊谷西高等学校,熊谷市三ヶ尻2066,36.16397,139.331589,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
熊谷商業高等学校,熊谷市広瀬800,36.1492752,139.3560965,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇(2階以上)、【地震時】〇
熊谷工業高等学校,熊谷市小島820,36.1566134,139.3549572,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
玉井保育所,熊谷市玉井2105-1,36.1786415,139.3455817,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
籠原保育所,熊谷市新堀1124,36.1748858,139.3247053,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
籠原公民館･西児童館,熊谷市新堀新田576-1,36.1724469,139.3150895,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
新堀公民館,熊谷市新堀202-1,36.1729669,139.337238,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】×、【地震時】〇
別府公民館,熊谷市西別府2252-1,36.19361036,139.3353343,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
別府体育館,熊谷市西別府2252-1,36.19320114,139.3354896,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】×
熊谷文化創造館「さくらめいと」,熊谷市拾六間111-1,36.1655758,139.3272999,指定避難所兼指定緊急避難場所(第二避難所),【洪水時】〇、【地震時】〇
老人福祉センタ-　別府荘,熊谷市西別府583-1,36.195664,139.339098,福祉避難所,
